Entity,Code_x,Year,Anxiety disorders,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,Code_y,Bipolar disorders ,Code_x,Eating disorders ,Code_y,Schizophrenia disorders ,total_mental_disorders
Australia,AUS,2019,5.8151646,49379.094,25357168.0,,AUS,1.1250612,AUS,1.0316882,AUS,0.3886459,8.3605599
Austria,AUT,2019,6.0064344,55806.438,8879939.0,,AUT,0.90043485,AUT,0.5622296,AUT,0.27674544,7.74584429
Bahamas,BHS,2019,4.3490176,35161.832,404563.0,,BHS,0.8992322,BHS,0.2916803,BHS,0.284808,5.8247381
Bahrain,BHR,2019,4.937836,49768.977,1494195.0,,BHR,0.78144014,BHR,0.2906812,BHR,0.27094802,6.280905359999999
Belgium,BEL,2019,5.04724,51977.184,11510569.0,,BEL,0.90031374,BEL,0.4368189,BEL,0.27416807,6.6585407100000005
Bermuda,BMU,2019,4.329229,81681.73,63833.0,,BMU,0.9773684,BMU,0.3673627,BMU,0.30534044,5.97930054
Brunei,BRN,2019,2.856928,61424.363,438058.0,,BRN,0.60645264,BRN,0.4247467,BRN,0.3041013,4.19222864
Canada,CAN,2019,4.3206058,49171.51,37522584.0,,CAN,0.8052512,CAN,0.4285759,CAN,0.28864193,5.84307483
Cyprus,CYP,2019,6.4671764,41746.918,1228840.0,,CYP,0.9104203,CYP,0.40809122,CYP,0.27398312,8.05967104
Czechia,CZE,2019,3.1539073,40989.727,10536876.0,,CZE,0.54714864,CZE,0.19224705,CZE,0.29657868,4.18988167
Denmark,DNK,2019,4.873904,56813.965,5795879.0,,DNK,0.94029397,DNK,0.47125348,DNK,0.2413819,6.5268333499999995
Estonia,EST,2019,3.3788164,36153.434,1327039.0,,EST,0.5227906,EST,0.1751613,EST,0.29009965,4.36686795
European Union (27),,2019,5.161444,44363.457,445027038.0,,,0.83010626,,0.41242015,,0.2762679,6.68023831
Finland,FIN,2019,3.9931211,48583.434,5521539.0,,FIN,0.8902839,FIN,0.48180753,FIN,0.264076,5.62928853
France,FRA,2019,6.2742558,45922.793,64399760.0,,FRA,0.90416586,FRA,0.46825343,FRA,0.26827893,7.91495402
Germany,DEU,2019,6.208145,53874.316,83148144.0,,DEU,0.7469019,DEU,0.42561316,DEU,0.26269624,7.643356300000001
High-income countries,,2019,4.8858933,49982.78,1214846354.0,,,0.73846537,,0.41672078,,0.32704684,6.368126290000001
Hungary,HUN,2019,3.4067228,32649.143,9771799.0,,HUN,0.5375118,HUN,0.1835278,HUN,0.2914906,4.419253
Iceland,ISL,2019,5.1037683,56923.17,360787.0,,ISL,0.9084446,ISL,0.4541073,ISL,0.27835035,6.74467055
Ireland,IRL,2019,6.9078193,86681.27,4896021.0,,IRL,0.701279,IRL,0.45577714,IRL,0.35267243,8.41754787
Israel,ISR,2019,3.7392616,40810.055,8607922.0,,ISR,1.0514655,ISR,0.38732913,ISR,0.29913944,5.47719567
Italy,ITA,2019,5.5624604,42739.05,59727936.0,,ITA,0.89349115,ITA,0.54448926,ITA,0.29120925,7.291650059999999
Japan,JPN,2019,2.3241255,41697.41,125791680.0,,JPN,0.6442883,JPN,0.38879964,JPN,0.30083296,3.6580464
Kuwait,KWT,2019,4.599968,47314.797,4441105.0,,KWT,0.81019646,KWT,0.34584403,KWT,0.27380788,6.02981637
Latvia,LVA,2019,3.748034,31038.68,1916552.0,,LVA,0.5201065,LVA,0.1660531,LVA,0.28601405,4.720207650000001
Lithuania,LTU,2019,4.2541876,37184.453,2849083.0,,LTU,0.5211538,LTU,0.17335068,LTU,0.2884198,5.2371118800000005
Luxembourg,LUX,2019,5.2770224,114542.5,619981.0,,LUX,0.896122,LUX,0.5688226,LUX,0.2819182,7.0238852
Malta,MLT,2019,6.2475963,45433.918,503646.0,,MLT,0.9121692,MLT,0.42228425,MLT,0.27710927,7.85915902
Netherlands,NLD,2019,6.7548013,56784.04,17363260.0,,NLD,0.78764594,NLD,0.38367063,NLD,0.36796945,8.29408732
New Zealand,NZL,2019,7.263469,43110.37,4959033.0,,NZL,1.5064018,NZL,0.6033723,NZL,0.3886144,9.7618575
Norway,NOR,2019,6.7358413,64385.008,5348285.0,,NOR,0.8286233,NOR,0.47473136,NOR,0.28272113,8.321917090000001
Oman,OMN,2019,4.61154,33814.113,4602769.0,,OMN,0.68607295,OMN,0.26507118,OMN,0.2642391,5.826923229999999
Panama,PAN,2019,3.6566825,31543.605,4232538.0,,PAN,0.8495454,PAN,0.28251824,PAN,0.28811285,5.07685899
Poland,POL,2019,3.082497,33159.75,38493600.0,,POL,0.5506919,POL,0.18609495,POL,0.2945265,4.1138103500000005
Portugal,PRT,2019,8.02761,34945.66,10289921.0,,PRT,0.87302935,PRT,0.42184258,PRT,0.26907453,9.591556459999998
