Entity,Code_x,Year,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,Code_y,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Code_x,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,Code_y,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,total_mental_disorder_rate
Bahrain,BHR,1990,4.94783,36997.734,517429.0,,BHR,0.7810451,BHR,0.26345095,BHR,0.27101102,6.26333707
Bahrain,BHR,1991,4.95052,39769.312,535419.0,,BHR,0.7810464,BHR,0.2640818,BHR,0.27101833,6.26666653
Bahrain,BHR,1992,4.9553375,40971.727,554480.0,,BHR,0.78116953,BHR,0.2650094,BHR,0.2710026,6.27251903
Bahrain,BHR,1993,4.961334,44690.414,573762.0,,BHR,0.78143346,BHR,0.2659323,BHR,0.2709875,6.27968726
Bahrain,BHR,1994,4.966457,43113.48,593259.0,,BHR,0.7816976,BHR,0.26683936,BHR,0.27099636,6.28599032
Bahrain,BHR,1995,4.9691095,43369.152,612941.0,,BHR,0.7818117,BHR,0.26772738,BHR,0.27103662,6.289685200000001
Bahrain,BHR,1996,4.9717083,43737.188,632763.0,,BHR,0.78177804,BHR,0.26794696,BHR,0.27111655,6.29254985
Bahrain,BHR,1997,4.9765806,43716.02,652651.0,,BHR,0.7816557,BHR,0.2687017,BHR,0.27121365,6.29815165
Bahrain,BHR,1998,4.9822226,44458.438,672484.0,,BHR,0.7815618,BHR,0.26943186,BHR,0.27132156,6.30453782
Bahrain,BHR,1999,4.9862685,45053.746,692138.0,,BHR,0.7815294,BHR,0.27071458,BHR,0.27142933,6.309941810000001
Bahrain,BHR,2000,4.987824,46154.03,711446.0,,BHR,0.78164333,BHR,0.27171385,BHR,0.27150548,6.31268666
Bahrain,BHR,2001,4.991164,46084.926,730263.0,,BHR,0.782004,BHR,0.27314183,BHR,0.27146372,6.31777355
Bahrain,BHR,2002,4.989611,46478.207,748332.0,,BHR,0.7815467,BHR,0.27362132,BHR,0.2713362,6.31611522
Bahrain,BHR,2003,4.9808435,47504.56,778260.0,,BHR,0.78032494,BHR,0.27307868,BHR,0.2712212,6.30546832
Bahrain,BHR,2004,4.9683924,47455.24,833454.0,,BHR,0.7789562,BHR,0.27250144,BHR,0.2711692,6.29101924
Bahrain,BHR,2005,4.955955,46821.023,901928.0,,BHR,0.7780097,BHR,0.2726117,BHR,0.27122205,6.277798450000001
Bahrain,BHR,2006,4.948007,46303.49,970986.0,,BHR,0.7775874,BHR,0.2724273,BHR,0.27131918,6.26934088
Bahrain,BHR,2007,4.942917,46792.176,1040545.0,,BHR,0.7772759,BHR,0.27230522,BHR,0.27138376,6.26388188
Bahrain,BHR,2008,4.9368787,46588.64,1110352.0,,BHR,0.776833,BHR,0.2724272,BHR,0.27144542,6.25758432
Bahrain,BHR,2009,4.929518,44972.746,1179460.0,,BHR,0.776385,BHR,0.27189925,BHR,0.2715161,6.24931835
Bahrain,BHR,2010,4.9227433,45600.066,1213655.0,,BHR,0.77622914,BHR,0.27230263,BHR,0.27158913,6.242864199999999
Bahrain,BHR,2011,4.9203353,46564.71,1212086.0,,BHR,0.7766089,BHR,0.27338436,BHR,0.27152345,6.24185201
Bahrain,BHR,2012,4.9186068,47793.53,1224948.0,,BHR,0.7771692,BHR,0.27505082,BHR,0.27128288,6.2421097
Bahrain,BHR,2013,4.9148717,48915.53,1261683.0,,BHR,0.7776296,BHR,0.27717188,BHR,0.27098894,6.24066212
Bahrain,BHR,2014,4.909362,49117.99,1311142.0,,BHR,0.7779736,BHR,0.27849597,BHR,0.27074158,6.23657315
Bahrain,BHR,2015,4.9055676,48453.727,1362157.0,Asia,BHR,0.7783771,BHR,0.2798101,BHR,0.2706146,6.2343694
Bahrain,BHR,2016,4.8906527,48486.305,1409668.0,,BHR,0.7790424,BHR,0.28314427,BHR,0.27056554,6.22340491
Bahrain,BHR,2017,4.8809757,48929.445,1456844.0,,BHR,0.7798653,BHR,0.2866591,BHR,0.27052996,6.218030059999999
Bahrain,BHR,2018,4.9006104,48937.66,1487346.0,,BHR,0.78070796,BHR,0.28855082,BHR,0.27063942,6.2405086
Bahrain,BHR,2019,4.937836,49768.977,1494195.0,,BHR,0.78144014,BHR,0.2906812,BHR,0.27094802,6.280905359999999
