Entity,Code_x,Year,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,Code_y,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Code_x,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,Code_y,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,total_mental_disorder_rate
Luxembourg,LUX,1990,5.3204165,70860.82,381275.0,,LUX,0.8974192,LUX,0.44226694,LUX,0.27887928,6.93898192
Luxembourg,LUX,1991,5.3231664,75961.67,386405.0,,LUX,0.89736336,LUX,0.44824496,LUX,0.27881005,6.94758477
Luxembourg,LUX,1992,5.32682,76323.305,391524.0,,LUX,0.8973365,LUX,0.45431757,LUX,0.27876824,6.957242309999999
Luxembourg,LUX,1993,5.3308725,78468.92,396705.0,,LUX,0.89733475,LUX,0.46137854,LUX,0.27874652,6.96833231
Luxembourg,LUX,1994,5.334695,80365.23,402049.0,,LUX,0.8973408,LUX,0.4680975,LUX,0.27874544,6.97887874
Luxembourg,LUX,1995,5.3371887,80379.125,407639.0,,LUX,0.89736915,LUX,0.47405398,LUX,0.27874634,6.987358169999999
Luxembourg,LUX,1996,5.3416696,80401.03,413202.0,,LUX,0.89740914,LUX,0.47958273,LUX,0.27882823,6.9974897
Luxembourg,LUX,1997,5.3494477,83702.81,418413.0,,LUX,0.897455,LUX,0.4854611,LUX,0.27900323,7.01136703
Luxembourg,LUX,1998,5.357782,88185.8,423579.0,,LUX,0.89750755,LUX,0.49048683,LUX,0.27920192,7.024978300000001
Luxembourg,LUX,1999,5.3648443,94115.38,429352.0,,LUX,0.897547,LUX,0.49646106,LUX,0.27937478,7.03822714
Luxembourg,LUX,2000,5.368072,99301.52,435634.0,,LUX,0.89756346,LUX,0.5011979,LUX,0.2794592,7.0462925599999995
Luxembourg,LUX,2001,5.367767,101143.15,441254.0,,LUX,0.8975746,LUX,0.5074781,LUX,0.2795102,7.052329899999999
Luxembourg,LUX,2002,5.3659873,103317.33,445920.0,,LUX,0.8975811,LUX,0.5134516,LUX,0.27958715,7.05660715
Luxembourg,LUX,2003,5.36274,104743.0,451351.0,,LUX,0.89754826,LUX,0.5201227,LUX,0.27967557,7.0600865299999995
Luxembourg,LUX,2004,5.358347,107634.836,457798.0,,LUX,0.8974474,LUX,0.5255238,LUX,0.279773,7.0610912
Luxembourg,LUX,2005,5.354965,108632.36,464868.0,,LUX,0.89731413,LUX,0.52993685,LUX,0.2798686,7.0620845800000005
Luxembourg,LUX,2006,5.3505,113346.04,472402.0,,LUX,0.8973172,LUX,0.5335204,LUX,0.2800365,7.0613741
Luxembourg,LUX,2007,5.341905,120647.82,479877.0,,LUX,0.89737165,LUX,0.5369901,LUX,0.28032798,7.05659473
Luxembourg,LUX,2008,5.331026,118154.664,488643.0,,LUX,0.89736843,LUX,0.5408367,LUX,0.28066516,7.0498962899999995
Luxembourg,LUX,2009,5.3204775,112230.08,497876.0,,LUX,0.8972925,LUX,0.5445319,LUX,0.2809533,7.0432552
Luxembourg,LUX,2010,5.3144484,114343.984,507075.0,,LUX,0.89718467,LUX,0.5471647,LUX,0.2811092,7.03990697
Luxembourg,LUX,2011,5.3125076,112998.39,518207.0,,LUX,0.8969854,LUX,0.5495831,LUX,0.28109607,7.04017217
Luxembourg,LUX,2012,5.3124857,112137.13,530596.0,,LUX,0.8967775,LUX,0.55233777,LUX,0.2809691,7.04257007
Luxembourg,LUX,2013,5.313485,113050.664,543068.0,,LUX,0.896586,LUX,0.5543539,LUX,0.2808299,7.0452547999999995
Luxembourg,LUX,2014,5.3140073,113313.58,556075.0,,LUX,0.8964564,LUX,0.55658114,LUX,0.28070474,7.0477495800000005
Luxembourg,LUX,2015,5.3122964,113182.73,569415.0,Europe,LUX,0.8963835,LUX,0.5586582,LUX,0.2806614,7.0479994999999995
Luxembourg,LUX,2016,5.2900987,116283.7,583355.0,,LUX,0.8962699,LUX,0.56215495,LUX,0.28114262,7.02966617
Luxembourg,LUX,2017,5.268558,114985.84,596290.0,,LUX,0.89622927,LUX,0.5653662,LUX,0.28168043,7.011833899999999
Luxembourg,LUX,2018,5.268371,114164.47,607920.0,,LUX,0.8961744,LUX,0.566971,LUX,0.28184295,7.013359349999999
Luxembourg,LUX,2019,5.2770224,114542.5,619981.0,,LUX,0.896122,LUX,0.5688226,LUX,0.2819182,7.0238852
