Entity,Code_x,Year,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,Code_y,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Code_x,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,Code_y,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,total_mental_disorder_rate
Slovenia,SVN,1995,3.4157934,21480.328,1991115.0,,SVN,0.5480902,SVN,0.15564717,SVN,0.29481214,4.41434291
Slovenia,SVN,1996,3.415419,22182.21,1990671.0,,SVN,0.5480421,SVN,0.1558942,SVN,0.29497465,4.41432995
Slovenia,SVN,1997,3.415553,23333.719,1989831.0,,SVN,0.54798603,SVN,0.15651421,SVN,0.29523066,4.4152838999999995
Slovenia,SVN,1998,3.4156392,24151.54,1988287.0,,SVN,0.54792005,SVN,0.15723932,SVN,0.2955267,4.416325270000001
Slovenia,SVN,1999,3.4154978,25421.295,1986263.0,,SVN,0.5478539,SVN,0.15830022,SVN,0.29580837,4.417460289999999
Slovenia,SVN,2000,3.4148707,26276.945,1984339.0,,SVN,0.54778534,SVN,0.15960872,SVN,0.29602134,4.4182860999999995
Slovenia,SVN,2001,3.4146807,27079.475,1982489.0,,SVN,0.5477201,SVN,0.16065343,SVN,0.2962314,4.41928563
Slovenia,SVN,2002,3.4154725,27994.062,1983769.0,,SVN,0.5476495,SVN,0.16242416,SVN,0.29651693,4.42206309
Slovenia,SVN,2003,3.4163406,28805.385,1989413.0,,SVN,0.5475685,SVN,0.1646438,SVN,0.29683208,4.42538498
Slovenia,SVN,2004,3.4166489,30041.814,1996731.0,,SVN,0.5474863,SVN,0.16660479,SVN,0.29712954,4.427869530000001
Slovenia,SVN,2005,3.4155588,31128.83,2004780.0,,SVN,0.5473989,SVN,0.16811678,SVN,0.29736274,4.428437219999999
Slovenia,SVN,2006,3.412923,32812.74,2013577.0,,SVN,0.54731697,SVN,0.16993526,SVN,0.29760498,4.42778021
Slovenia,SVN,2007,3.4092996,34907.367,2023230.0,,SVN,0.5472392,SVN,0.17160432,SVN,0.2979254,4.426068519999999
Slovenia,SVN,2008,3.4051182,36075.47,2034037.0,,SVN,0.5471558,SVN,0.17345054,SVN,0.298263,4.423987540000001
Slovenia,SVN,2009,3.4013062,33052.227,2045578.0,,SVN,0.54708517,SVN,0.17497812,SVN,0.29855317,4.42192266
Slovenia,SVN,2010,3.3985589,33350.613,2057294.0,,SVN,0.54702723,SVN,0.17599195,SVN,0.29873276,4.42031084
Slovenia,SVN,2011,3.396629,33568.066,2065457.0,,SVN,0.5469755,SVN,0.17654982,SVN,0.29887468,4.419029
Slovenia,SVN,2012,3.3948138,32613.49,2069365.0,,SVN,0.5469312,SVN,0.17746557,SVN,0.2990663,4.41827687
Slovenia,SVN,2013,3.3929334,32234.025,2072374.0,,SVN,0.5468908,SVN,0.17795832,SVN,0.29926476,4.417047279999999
Slovenia,SVN,2014,3.3910072,33093.75,2074923.0,,SVN,0.5468587,SVN,0.17820108,SVN,0.2994261,4.41549308
Slovenia,SVN,2015,3.3889303,33799.727,2080865.0,Europe,SVN,0.54683584,SVN,0.17944098,SVN,0.29950804,4.41471516
Slovenia,SVN,2016,3.3792083,34853.043,2090020.0,,SVN,0.54681283,SVN,0.18036084,SVN,0.29934824,4.40573021
Slovenia,SVN,2017,3.3704271,36507.555,2098396.0,,SVN,0.54679406,SVN,0.18203017,SVN,0.29917935,4.39843068
Slovenia,SVN,2018,3.3750324,37995.715,2105931.0,,SVN,0.5467767,SVN,0.18319431,SVN,0.29926845,4.40427186
Slovenia,SVN,2019,3.3891728,39034.234,2112905.0,,SVN,0.5467665,SVN,0.1849328,SVN,0.2995073,4.4203794
