Entity,Code_x,Year,Indicator:Stand-alone policy or plan for mental health,Code_y,"Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS0-4","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS5-14","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS15-49","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS50-69","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS70+","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: ALLAges"
Afghanistan,AFG,2014,Yes,AFG,0.0,0.0,1.9012691,3.8752463,6.2676764,1.19
Albania,ALB,2014,Yes,ALB,0.0,0.0,1.2631127,1.9777112,3.9284713,1.42
Algeria,DZA,2014,Yes,DZA,0.0,0.0,2.5721793,4.378609,11.14476,2.33
Argentina,ARG,2014,Yes,ARG,0.044176754,0.12449403,1.2549108,7.293665,16.756084,3.19
Armenia,ARM,2014,Yes,ARM,0.0,0.0,0.9419381,1.9022118,5.0421777,1.27
Australia,AUS,2014,Yes,AUS,0.0,0.0,10.520492,9.707888,10.873555,8.33
Austria,AUT,2014,Yes,AUT,0.0,0.0,5.0889654,13.53961,15.529079,7.82
Azerbaijan,AZE,2014,Yes,AZE,0.0,0.0,2.8931315,4.913839,7.4518094,2.77
Bahrain,BHR,2014,No,BHR,0.0,0.0,1.4093472,2.0848854,5.247156,1.24
Bangladesh,BGD,2014,Yes,BGD,0.0,9.026523e-05,0.90941757,5.954401,18.817598,1.76
Barbados,BRB,2014,Yes,BRB,0.0,0.0,0.7667798,5.571448,4.461987,2.03
Belarus,BLR,2014,No,BLR,0.0,0.0,23.406336,59.38408,96.38401,37.48
Belgium,BEL,2014,Yes,BEL,0.0,0.0,4.938831,11.730045,13.613202,6.89
Belize,BLZ,2014,Yes,BLZ,0.0,0.0,2.2643094,9.186798,8.518794,2.44
Benin,BEN,2014,Yes,BEN,0.0,0.0,2.8876774,6.4259562,13.797523,2.19
Bhutan,BTN,2014,No,BTN,0.0,0.0,1.3777207,4.086809,6.5688224,1.53
Bolivia,BOL,2014,No,BOL,0.0,0.0,3.7730043,18.490929,32.797913,5.13
Bosnia and Herzegovina,BIH,2014,Yes,BIH,0.0,0.0,1.8587574,6.413761,6.236063,3.29
Botswana,BWA,2014,Yes,BWA,0.0,0.0,2.7783687,9.554519,9.60313,2.77
Brazil,BRA,2014,Yes,BRA,0.0,0.05769469,4.2884097,10.942157,11.581282,4.83
Brunei,BRN,2014,Yes,BRN,0.0,0.0,0.99719894,2.2762544,3.5886395,1.01
Bulgaria,BGR,2014,Yes,BGR,0.0,0.0,1.7430232,3.3702254,3.0875013,2.16
Burkina Faso,BFA,2014,Yes,BFA,0.0,0.0,1.9500192,5.792774,12.526157,1.54
Burundi,BDI,2014,Yes,BDI,0.0,0.0,1.100125,5.912117,11.563541,1.11
Cambodia,KHM,2014,Yes,KHM,0.0,0.0,1.282783,2.8154168,3.9466887,1.14
Canada,CAN,2014,Yes,CAN,0.0,0.0,12.948794,16.47113,17.11652,12.11
Central African Republic,CAF,2014,Yes,CAF,0.0,0.0,3.150582,10.623175,11.877553,2.47
Chile,CHL,2014,Yes,CHL,0.0,0.0,1.4748799,5.5594645,7.2933855,2.4
China,CHN,2014,Yes,CHN,0.0,0.00068970484,2.090115,4.4280562,11.308024,2.72
Colombia,COL,2014,Yes,COL,0.0,0.23302723,0.98240656,1.1373144,3.1292336,0.89
Congo,COG,2014,No,COG,0.0,0.0,3.221602,8.611094,9.068955,2.49
Costa Rica,CRI,2014,Yes,CRI,0.0,0.0,1.6439,4.449061,7.1873903,2.09
Cote d'Ivoire,CIV,2014,Yes,CIV,0.0,0.00031716473,5.1965976,12.264157,20.590082,3.67
Croatia,HRV,2014,Yes,HRV,0.0,0.0,4.150169,18.27977,22.775957,9.94
Cuba,CUB,2014,No,CUB,0.0,0.0,2.531097,12.979192,13.331523,5.55
Cyprus,CYP,2014,Yes,CYP,0.0,0.0,1.5731068,3.693504,7.4415164,2.29
Czechia,CZE,2014,Yes,CZE,0.0,0.17237367,3.1371615,9.898581,4.9375753,4.61
Democratic Republic of Congo,COD,2014,Yes,COD,0.0,0.00023997926,1.4943159,7.054034,8.221229,1.4
Denmark,DNK,2014,Yes,DNK,0.0,0.0,9.4655075,37.601944,30.891521,17.56
Djibouti,DJI,2014,No,DJI,0.0,0.0,2.2986395,5.691381,13.685411,2.34
Dominican Republic,DOM,2014,Yes,DOM,0.0,0.0,2.3008199,5.6528783,7.132045,2.29
East Timor,TLS,2014,Yes,TLS,0.0,0.0,0.59356654,2.0884266,2.9352612,0.59
Ecuador,ECU,2014,Yes,ECU,0.0,0.0,2.2315814,8.053925,14.980712,2.89
Egypt,EGY,2014,No,EGY,0.0,0.0,0.2912485,0.575882,0.5471262,0.25
El Salvador,SLV,2014,Yes,SLV,0.0,0.0,12.41039,32.143215,36.42045,12.38
Eritrea,ERI,2014,Yes,ERI,0.0,0.0,2.3480039,8.2918,18.226873,2.23
Estonia,EST,2014,No,EST,0.0,0.0,25.01439,39.989555,9.4026165,22.66
Eswatini,SWZ,2014,No,SWZ,0.0,0.0,4.8147907,9.887821,10.404447,3.63
Ethiopia,ETH,2014,Yes,ETH,0.0,0.000109318076,0.9370906,4.317969,15.010863,1.05
Fiji,FJI,2014,Yes,FJI,0.0,0.0,0.60695696,1.0610526,3.2518969,0.59
Finland,FIN,2014,Yes,FIN,0.0,0.16659711,12.532248,30.384064,29.248396,17.54
France,FRA,2014,Yes,FRA,0.060105752,0.14218268,5.258317,15.452466,23.781727,9.19
Gambia,GMB,2014,Yes,GMB,0.0,0.0,1.7926997,6.596496,14.3914585,1.63
Georgia,GEO,2014,Yes,GEO,0.0,0.0,3.0084708,5.1998043,7.7801657,3.2
Germany,DEU,2014,No,DEU,0.061541628,0.119070195,5.7749467,16.934885,13.10505,9.19
Ghana,GHA,2014,Yes,GHA,0.0,0.00014578148,2.7740545,8.110962,19.98124,2.6
Greece,GRC,2014,Yes,GRC,0.0,0.0,4.0608706,1.2674304,0.77534413,2.32
Grenada,GRD,2014,Yes,GRD,0.0,0.0,1.0697094,8.003557,5.880047,2.51
Guatemala,GTM,2014,Yes,GTM,0.0,0.0,14.06961,37.805126,32.439632,11.46
Guinea,GIN,2014,Yes,GIN,0.0,0.0,2.709303,6.6558685,12.072711,2.08
Guyana,GUY,2014,Yes,GUY,0.0,0.0,2.5831099,3.2480214,2.727627,1.87
Haiti,HTI,2014,No,HTI,0.0,0.0,5.0609307,16.685284,14.751424,4.73
Honduras,HND,2014,Yes,HND,0.0,0.0,2.994015,22.632032,39.265774,4.62
Hungary,HUN,2014,No,HUN,0.0,0.11512697,3.7486389,12.207797,11.783214,6.43
Iceland,ISL,2014,No,ISL,0.0,0.0,5.7442813,11.910589,18.16279,7.06
India,IND,2014,Yes,IND,0.0,0.00010142386,2.1613157,5.975111,7.932472,2.27
Indonesia,IDN,2014,Yes,IDN,0.0,0.00015451941,0.52870065,1.1539583,1.8242111,0.53
Iran,IRN,2014,Yes,IRN,0.0,0.00017705755,3.9938045,3.433072,8.804872,3.26
Iraq,IRQ,2014,Yes,IRQ,0.0,0.0,1.6073605,3.3092725,7.838561,1.29
Israel,ISR,2014,Yes,ISR,0.0,0.1407301,1.7370033,4.383574,9.145297,2.27
Italy,ITA,2014,Yes,ITA,0.05161957,0.10269831,1.7778784,2.4613318,6.5290284,2.47
Jamaica,JAM,2014,Yes,JAM,0.0,0.0,0.2677915,1.4690591,6.099026,0.59
Japan,JPN,2014,Yes,JPN,0.0,0.036514584,0.76623684,1.7090927,3.882151,1.51
Jordan,JOR,2014,Yes,JOR,0.0,0.0,0.8604131,3.740468,14.420547,1.06
Kenya,KEN,2014,No,KEN,0.0,8.068607e-05,0.84830827,4.2559843,7.0536976,0.8
Kiribati,KIR,2014,Yes,KIR,0.0,0.0,1.2192068,1.3504388,3.11804,0.88
Kuwait,KWT,2014,No,KWT,0.0,0.0,0.9686974,1.6612526,8.874335,0.95
Kyrgyzstan,KGZ,2014,Yes,KGZ,0.0,0.0,8.403736,25.276686,18.679356,7.99
Laos,LAO,2014,Yes,LAO,0.0,0.0,1.4080905,3.394434,3.7936094,1.21
Latvia,LVA,2014,Yes,LVA,0.0,0.0,11.679564,30.41623,13.083573,14.88
Lebanon,LBN,2014,No,LBN,0.0,0.0,2.9876437,7.172387,19.875767,3.68
Lesotho,LSO,2014,No,LSO,0.0,0.0,5.958802,17.43548,10.84173,5.24
Liberia,LBR,2014,Yes,LBR,0.0,0.0,2.4754887,6.6409826,13.453061,2.06
Libya,LBY,2014,No,LBY,0.0,0.0,7.5849633,11.30394,26.971462,5.88
Lithuania,LTU,2014,Yes,LTU,0.0,0.0,15.651644,25.163116,5.1091247,14.43
Luxembourg,LUX,2014,Yes,LUX,0.0,0.0,4.5278115,16.415289,23.45219,8.4
Madagascar,MDG,2014,Yes,MDG,0.0,0.00015711866,0.6893171,3.6122725,9.851748,0.82
Malawi,MWI,2014,Yes,MWI,0.0,0.0,0.79997396,6.232119,8.252009,0.93
Malaysia,MYS,2014,Yes,MYS,0.0,0.00018817774,0.9856461,2.9285865,8.073321,1.29
