Entity,Code_x,Year,Indicator:Psychiatrists working in mental health sector (per 100 000 population),Code_y,"Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS0-4","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS5-14","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS15-49","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS50-69","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS70+","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: ALLAges"
Afghanistan,AFG,2016,0.2312,AFG,0.0,0.0,1.9615064,3.9100268,6.5026994,1.23
Albania,ALB,2016,1.47091,ALB,0.0,0.0,1.1798546,2.0286736,4.408806,1.47
Angola,AGO,2016,0.05743,AGO,0.0,0.00024915382,1.6747154,6.0793867,6.342262,1.33
Antigua and Barbuda,ATG,2016,1.00077,ATG,0.0,0.0,2.0716248,17.447248,26.496975,5.82
Argentina,ARG,2016,21.7054,ARG,0.0,0.0,1.3869541,7.339591,16.736643,3.27
Armenia,ARM,2016,3.83963,ARM,0.0,0.0,1.0005065,2.1051311,5.567865,1.36
Azerbaijan,AZE,2016,3.45205,AZE,0.0,0.0,2.8287644,4.911572,7.889609,2.75
Bangladesh,BGD,2016,0.13027,BGD,0.0,9.238175e-05,0.9549361,5.9731555,18.828411,1.86
Belarus,BLR,2016,13.50444,BLR,0.0,0.0,23.419268,59.14903,85.4207,36.22
Belize,BLZ,2016,1.39164,BLZ,0.0,0.0,2.3204854,9.195347,8.857574,2.55
Bhutan,BTN,2016,0.50801,BTN,0.0,0.0,1.3504654,4.2546535,6.9126835,1.58
Bolivia,BOL,2016,1.12824,BOL,0.0,0.0,4.035596,18.627115,34.03388,5.43
Brazil,BRA,2016,3.16466,BRA,0.0,0.009317427,4.1797857,10.334648,11.472589,4.76
Brunei,BRN,2016,1.19748,BRN,0.0,0.0,1.0684533,1.0008315,8.06142,0.99
Bulgaria,BGR,2016,7.20317,BGR,0.0,0.0,1.8433958,3.307411,2.8052418,2.15
Burkina Faso,BFA,2016,0.03865,BFA,0.0,0.00018662582,1.9694476,5.7553926,12.367894,1.56
Cambodia,KHM,2016,0.38666,KHM,0.0,0.0,1.3009946,2.7497783,3.9501214,1.16
Chad,TCD,2016,0.00714,TCD,0.0,0.00023827609,2.901342,6.503808,16.553877,1.89
Chile,CHL,2016,6.96967,CHL,0.0,0.0,1.6398323,4.5960407,7.023368,2.32
Colombia,COL,2016,1.83501,COL,0.0,0.0,1.080347,1.357806,3.5959468,0.97
