Entity,Code_x,Year,Anxiety disorders,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,Code_y,Bipolar disorders ,Code_x.1,Eating disorders ,Code_y.1,Schizophrenia disorders ,total_mental_disorders,Code_x,"Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS0-4","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS5-14","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS15-49","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS50-69","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS70+","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: ALLAges",Code_y,Indicator:Psychiatrists working in mental health sector (per 100 000 population)
Australia,AUS,2015,5.5441623,47567.68,23820240.0,Oceania,AUS,1.1250105,AUS,1.0158271,AUS,0.38857755,8.07357745,AUS,0.0,0.0,11.157366,9.617761,12.26475,8.78,AUS,13.52546
Bahrain,BHR,2017,4.8809757,48929.445,1456844.0,,BHR,0.7798653,BHR,0.2866591,BHR,0.27052996,6.218030059999999,BHR,0.0,0.0,1.5880259,2.1105528,5.8069415,1.37,BHR,5.46705
Belgium,BEL,2013,5.0737395,48204.586,11103260.0,,BEL,0.90042275,BEL,0.4255563,BEL,0.27386346,6.6735820100000005,BEL,0.0,0.15559396,4.7014313,13.832681,14.7075815,7.39,BEL,20.0568
Brunei,BRN,2016,2.86304,59980.99,426001.0,,BRN,0.6066371,BRN,0.4292552,BRN,0.30310532,4.20203762,BRN,0.0,0.0,1.0684533,1.0008315,8.06142,0.99,BRN,1.19748
Canada,CAN,2017,4.3520355,48317.176,36554344.0,,CAN,0.80529726,CAN,0.42864105,CAN,0.28852788,5.874501690000001,CAN,0.0,0.025683701,14.418352,17.731071,17.601355,13.28,CAN,14.67922
Czechia,CZE,2015,3.1647387,36168.418,10523801.0,Europe,CZE,0.54724824,CZE,0.18666612,CZE,0.2965073,4.19516036,CZE,0.0,0.07388742,3.6921458,9.929947,5.1358833,4.9,CZE,12.36354
Estonia,EST,2016,3.3828745,32008.934,1315928.0,,EST,0.523013,EST,0.1709759,EST,0.2893697,4.3662331,EST,0.0,0.0,23.505085,33.27923,14.516982,20.96,EST,16.18799
Finland,FIN,2017,3.9950688,47570.133,5508146.0,,FIN,0.89043283,FIN,0.47758844,FIN,0.26413894,5.62722901,FIN,0.0,0.0,10.381953,26.206104,27.670033,15.42,FIN,23.58643
France,FRA,2017,6.2719707,44577.066,64144092.0,,FRA,0.9041692,FRA,0.46636337,FRA,0.26882124,7.91132451,FRA,0.0,0.012878057,4.7501764,15.654451,24.51486,9.29,FRA,20.9069
Germany,DEU,2015,6.2348394,51159.297,82073232.0,Europe,DEU,0.74880296,DEU,0.420048,DEU,0.2591541,7.66284446,DEU,0.064250655,0.10425049,6.229659,18.375183,14.458607,10.05,DEU,13.20192
Israel,ISR,2016,3.757394,38251.297,8159015.0,,ISR,1.0517591,ISR,0.37869105,ISR,0.30282575,5.490669899999999,ISR,0.0,0.06478652,1.6931959,5.0159264,10.114084,2.43,ISR,9.87036
Italy,ITA,2015,5.5766687,40247.83,60232908.0,Europe,ITA,0.89417624,ITA,0.5356096,ITA,0.29140076,7.2978553,ITA,0.04440949,0.108067684,1.9797959,2.8944001,7.2927904,2.8,ITA,5.97773
Japan,JPN,2016,2.327684,40727.97,126993856.0,,JPN,0.6442932,JPN,0.38624644,JPN,0.30485958,3.66308322,JPN,0.0,0.00927573,0.6952926,1.987138,4.0792027,1.61,JPN,11.86717
Lithuania,LTU,2016,4.283735,31925.803,2933676.0,,LTU,0.52134776,LTU,0.16749556,LTU,0.28790364,5.26048196,LTU,0.0,0.0,14.406385,20.120867,6.773971,12.9,LTU,18.45203
Luxembourg,LUX,2015,5.3122964,113182.73,569415.0,Europe,LUX,0.8963835,LUX,0.5586582,LUX,0.2806614,7.0479995,LUX,0.0,0.0,5.070941,15.274543,19.379845,8.07,LUX,17.82119
Netherlands,NLD,2015,6.985626,52974.117,17041110.0,Europe,NLD,0.7877236,NLD,0.3769006,NLD,0.36579278,8.51604298,NLD,0.0,0.34278172,2.9946806,9.251574,14.94714,5.66,NLD,20.86962
New Zealand,NZL,2016,7.2546983,41620.348,4668088.0,,NZL,1.5066881,NZL,0.5929689,NZL,0.38905743,9.74341273,NZL,0.0,0.0,3.0771377,3.7979462,7.449191,3.07,NZL,28.54027
Norway,NOR,2016,6.7417626,63104.082,5236591.0,,NOR,0.8290058,NOR,0.46358582,NOR,0.2834477,8.31780192,NOR,0.0,0.0,7.9392624,16.511992,17.277285,9.57,NOR,48.03998
Oman,OMN,2015,4.5969,35188.023,4191784.0,Asia,OMN,0.68619406,OMN,0.26906314,OMN,0.26538405,5.81754125,OMN,0.0,0.0,0.9447094,1.4595501,3.0044596,0.79,OMN,1.73817
Qatar,QAT,2016,4.240043,97783.12,2595175.0,,QAT,0.74382836,QAT,0.3453544,QAT,0.28462133,5.61384709,QAT,0.0,0.0,0.6037281,1.5626531,6.8666143,0.62,QAT,2.71237
Saudi Arabia,SAU,2016,4.537617,47210.23,33416272.0,,SAU,0.7626379,SAU,0.27610958,SAU,0.2629914,5.839355879999999,SAU,0.0,0.000340992,1.4747041,4.039575,17.804575,1.64,SAU,1.32141
Singapore,SGP,2016,2.6995094,91146.09,5711936.0,,SGP,0.7184167,SGP,0.43828207,SGP,0.31662214,4.17283031,SGP,0.0,0.0,0.31658673,0.4177125,1.4228199,0.37,SGP,4.19131
Slovenia,SVN,2016,3.3792083,34853.043,2090020.0,,SVN,0.54681283,SVN,0.18036084,SVN,0.29934824,4.40573021,SVN,0.0,0.0,5.2917275,35.967663,37.180145,17.0,SVN,11.95303
South Korea,KOR,2016,3.3655744,39814.66,51309984.0,,KOR,0.50056434,KOR,0.34217376,KOR,0.29945716,4.50776966,KOR,0.0,0.0,1.3376807,5.244865,3.878706,2.43,KOR,5.79322
Spain,ESP,2015,5.3248467,37373.95,46431344.0,Europe,ESP,0.9244504,ESP,0.57605064,ESP,0.26577014,7.09111788,ESP,0.07412193,0.16412011,2.4402058,3.5315516,8.401519,3.15,ESP,9.69445
Sweden,SWE,2016,4.815395,51334.434,9953322.0,,SWE,0.9743236,SWE,0.50228727,SWE,0.27535465,6.567360519999999,SWE,0.0,0.0,7.6479487,11.396577,16.621124,8.55,SWE,20.86328
