Entity,Code_x,Year,Anxiety disorders,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,Code_y,Bipolar disorders ,Code_x,Eating disorders ,Code_y,Schizophrenia disorders ,total_mental_disorders
Australia,AUS,1990,5.746219,31006.1,17048002.0,,AUS,1.1160647,AUS,0.7187702,AUS,0.38909754,7.9701514399999995
Australia,AUS,1991,5.655439,30496.127,17271092.0,,AUS,1.1161371,AUS,0.72221917,AUS,0.38887236,7.88266763
Australia,AUS,1992,5.569575,30285.854,17462500.0,,AUS,1.1162119,AUS,0.72482026,AUS,0.38868392,7.79929108
Australia,AUS,1993,5.4921036,31232.586,17631514.0,,AUS,1.1162795,AUS,0.72893107,AUS,0.38853744,7.72585161
Australia,AUS,1994,5.4266415,32164.658,17805506.0,,AUS,1.1163439,AUS,0.7317704,AUS,0.38843122,7.66318702
Australia,AUS,1995,5.3766356,33044.844,18003002.0,,AUS,1.1164132,AUS,0.7358509,AUS,0.38836062,7.617260320000001
Australia,AUS,1996,5.32893,33905.26,18211850.0,,AUS,1.116486,AUS,0.74315125,AUS,0.38833362,7.57690087
Australia,AUS,1997,5.2749786,34852.75,18410254.0,,AUS,1.1165645,AUS,0.7553975,AUS,0.38834938,7.53528998
Australia,AUS,1998,5.224641,36099.023,18601666.0,,AUS,1.116632,AUS,0.770639,AUS,0.38839012,7.500302120000001
Australia,AUS,1999,5.1880302,37475.98,18800892.0,,AUS,1.116689,AUS,0.7853584,AUS,0.38843063,7.47850823
Australia,AUS,2000,5.175044,38494.887,19017968.0,,AUS,1.1167352,AUS,0.7977668,AUS,0.38845477,7.4780007699999995
Australia,AUS,2001,5.215392,38779.6,19248146.0,,AUS,1.1176239,AUS,0.81825,AUS,0.38848075,7.53974665
Australia,AUS,2002,5.3088007,39872.15,19475842.0,,AUS,1.1196815,AUS,0.85325265,AUS,0.38853607,7.670270919999999
Australia,AUS,2003,5.4199343,40642.562,19699004.0,,AUS,1.1221255,AUS,0.89287037,AUS,0.3885987,7.8235288700000005
